Text,Expect
BBCesque,TRUE
bdellins,TRUE
bdellion,TRUE
bdellium,TRUE
bdelloid,TRUE
bebeerin,TRUE
bebeerus,TRUE
bebelted,TRUE
Bebhionn,TRUE
bebirine,TRUE
bebleeds,TRUE
bebloods,TRUE
bebloody,TRUE
bebooted,TRUE
bebopped,TRUE
bebopper,TRUE
beborken,TRUE
bebother,TRUE
bebroyde,TRUE
Becentis,TRUE
Becerril,TRUE
bechides,TRUE
Bechtels,TRUE
Bechtold,TRUE
Bechtols,TRUE
Beckerts,TRUE
Beckford,TRUE
Becklers,TRUE
Beckleys,TRUE
Becknell,TRUE
Beckners,TRUE
beckoned,TRUE
beckoner,TRUE
Beckwith,TRUE
beclepes,TRUE
beclothe,TRUE
beclouds,TRUE
beclowns,TRUE
becolour,TRUE
becomers,TRUE
becomest,TRUE
becometh,TRUE
becoming,TRUE
becreeps,TRUE
becrowns,TRUE
becudgel,TRUE
becuffed,TRUE
becurled,TRUE
becursed,TRUE
becurses,TRUE
bedbound,TRUE
bedboxes,TRUE
bedbuggy,TRUE
beddings,TRUE
nounship,TRUE
nourices,TRUE
nourisht,TRUE
noursled,TRUE
noursles,TRUE
nousling,TRUE
noveldom,TRUE
novelese,TRUE
novelise,TRUE
novelish,TRUE
novelism,TRUE
novelist,TRUE
novelize,TRUE
Novellis,TRUE
Novellos,TRUE
November,TRUE
Novembre,TRUE
novemvir,TRUE
novenine,TRUE
noverint,TRUE
Novgorod,TRUE
novichok,TRUE
novities,TRUE
Novosels,TRUE
Novotnys,TRUE
nowhence,TRUE
nowheres,TRUE
Nowickis,TRUE
Nowinski,TRUE
Nowlings,TRUE
nroffing,TRUE
nubbiest,TRUE
nubblier,TRUE
nubbling,TRUE
Nubieber,TRUE
nubiform,TRUE
nubility,TRUE
nubilose,TRUE
nubilous,TRUE
nucellus,TRUE
nuciform,TRUE
Nuckolls,TRUE
genlock,TRUE
gennels,TRUE
gennets,TRUE
gennies,TRUE
Gennies,TRUE
genning,TRUE
Genoese,TRUE
genoing,TRUE
génoise,TRUE
genoise,TRUE
genoism,TRUE
genomes,TRUE
genomic,TRUE
genpuku,TRUE
genseng,TRUE
gensets,TRUE
gensing,TRUE
Gensing,TRUE
Gensler,TRUE
genteel,TRUE
gentile,TRUE
Gentile,TRUE
gentled,TRUE
gentler,TRUE
gentles,TRUE
Gentles,TRUE
Gentner,TRUE
Gentoos,TRUE
Gentzes,TRUE
genuine,TRUE
genuses,TRUE
genzine,TRUE
geobios,TRUE
geocell,TRUE
geocide,TRUE
geocode,TRUE
geocoin,TRUE
geodesy,TRUE
geodiid,TRUE
geodome,TRUE
geoduck,TRUE
geoform,TRUE
geofuel,TRUE
geogeny,TRUE
geogony,TRUE
geogrid,TRUE
geology,TRUE
geomyid,TRUE
geomyth,TRUE
geonets,TRUE
geonomy,TRUE
geonyms,TRUE
geonymy,TRUE
geophys,TRUE
Geordie,TRUE
Georges,TRUE
georgic,TRUE
Georgie,TRUE
geosite,TRUE
geosmin,TRUE
geosols,TRUE
geotope,TRUE
Gepidic,TRUE
gerbils,TRUE
Gerding,TRUE
gerdons,TRUE
gereges,TRUE
gerents,TRUE
gerenuk,TRUE
Gergens,TRUE
Gerkens,TRUE
Gerling,TRUE
germens,TRUE
germier,TRUE
germine,TRUE
germing,TRUE
germins,TRUE
Python,TRUE
unique New York,TRUE
Regular Expressions,FALSE
ALOHA,FALSE
didcaps,FALSE
didikai,FALSE
didncha,FALSE
Didonia,FALSE
dieback,FALSE
diecast,FALSE
dienals,FALSE
dietary,FALSE
Dietman,FALSE
dietman,FALSE
difuran,FALSE
digable,FALSE
digamma,FALSE
Diganta,FALSE
digicam,FALSE
Digifan,FALSE
digipak,FALSE
digital,FALSE
digonal,FALSE
digrams,FALSE
digraph,FALSE
dihedra,FALSE
diiambi,FALSE
diiambs,FALSE
dikshas,FALSE
diktats,FALSE
dilarid,FALSE
dilated,FALSE
dilater,FALSE
dilates,FALSE
dilaton,FALSE
dilator,FALSE
dilawan,FALSE
Dilazak,FALSE
dilazep,FALSE
dilemma,FALSE
dilemna,FALSE
Dilijan,FALSE
Dillard,FALSE
Dillman,FALSE
diluvia,FALSE
Dilzaks,FALSE
Dimarco,FALSE
DiMarco,FALSE
dimeran,FALSE
dimetal,FALSE
Dimitar,FALSE
Dimitra,FALSE
dimyary,FALSE
Dinardo,FALSE
Dinaric,FALSE
dingaka,FALSE
dingbat,FALSE
Dingman,FALSE
dingwad,FALSE
dinocap,FALSE
dintcha,FALSE
dioates,FALSE
diolate,FALSE
dionaea,FALSE
Dionean,FALSE
dioptra,FALSE
diorama,FALSE
dioxane,FALSE
DiPalma,FALSE
Dipaolo,FALSE
DiPaolo,FALSE
dipaths,FALSE
dipcoat,FALSE
diploma,FALSE
broadus,FALSE
Broadus,FALSE
Broadys,FALSE
broasts,FALSE
brocade,FALSE
brocage,FALSE
brocard,FALSE
Brocato,FALSE
brogans,FALSE
brohams,FALSE
brohawk,FALSE
brokage,FALSE
Brokaws,FALSE
Brokkat,FALSE
brolgas,FALSE
bromals,FALSE
bromane,FALSE
Bromans,FALSE
bromate,FALSE
bromian,FALSE
Brosnan,FALSE
brothah,FALSE
brothas,FALSE
brotula,FALSE
Broward,FALSE
browman,FALSE
brownea,FALSE
bruangs,FALSE
Brucato,FALSE
Brugman,FALSE
bruhaha,FALSE
brumate,FALSE
Bruneau,FALSE
bruvvas,FALSE
Bryanna,FALSE
Bryansk,FALSE
bryndza,FALSE
bryozan,FALSE
bryozoa,FALSE
